,log(S),ncts,samp err,ref,+,-
0,-4.77,6.48,0.011,ow08,1.510,    1.510
1,-4.668,6.5,0.011,ow08,0.890,    0.890
2,-4.602,3.21,0.676,ib09,0.752,    0.752
3,-4.523,6.11,0.010,ow08,0.580,    0.580
4,-4.467,2.6,0.278,fo06,1.624,    1.624
5,-4.398,4.14,0.471,ib09,0.529,    0.529
6,-4.373,4.1,0.439,fo06,2.048,    2.048
7,-4.347,5.75,0.010,ow08,0.690,    0.690
8,-4.34,0.98,0.171,se08A,0.278,    0.278
9,-4.284,2.3,0.314,ri00,0.688,    0.688
10,-4.272,5.4,0.578,fo06,2.372,    2.372
11,-4.244,2.49,0.136,ho03,0.509,    0.509
12,-4.208,5.12,0.446,ib09,0.511,    0.511
13,-4.206,2.58,0.276,ke08,0.528,    0.528
14,-4.18,3.287,0.176,bo08,0.245,    0.245
15,-4.173,5.7,0.610,fo06,2.476,    2.476
16,-4.155,2.9,0.396,ri00,0.803,    0.803
17,-4.151,1.11,0.193,se08A,0.285,    0.285
18,-4.143,3.27,0.179,ho03,0.447,    0.447
19,-4.114,7.01,0.012,ow08,0.740,    0.740
20,-4.092,4.454,0.239,bo08,0.318,    0.318
21,-4.077,7.0,0.750,fo06,2.706,    2.706
22,-4.066,3.66,0.201,ho03,0.614,    0.614
23,-4.06,3.1,0.423,ri00,0.763,    0.763
24,-4.021,2.52,0.270,ke08,0.466,    0.466
25,-4.009,5.06,0.374,ib09,0.473,    0.473
26,-4.0,4.434,0.238,bo08,0.331,    0.331
27,-4.0,3.91,0.110,ho03,1.255,    1.255
28,-3.971,2.1,0.254,mi85,0.839,    0.839
29,-3.96,5.2,0.557,fo06,2.366,    2.366
30,-3.955,2.7,0.368,ri00,0.727,    0.727
31,-3.927,1.61,0.280,se08A,0.369,    0.369
32,-3.914,4.25,0.120,ho03,0.908,    0.908
33,-3.914,4.944,0.265,bo08,0.371,    0.371
34,-3.903,6.24,0.011,ow08,1.110,    1.110
35,-3.836,4.44,0.125,ho03,0.429,    0.429
36,-3.827,2.88,0.308,ke08,0.546,    0.546
37,-3.824,5.147,0.276,bo08,0.438,    0.438
38,-3.81,4.3,0.298,ib09,0.460,    0.460
39,-3.807,2.4,0.327,ri00,0.698,    0.698
40,-3.784,5.1,0.546,fo06,2.364,    2.364
41,-3.783,3.5,0.423,mi85,0.905,    0.905
42,-3.77,3.6,0.105,ci99,0.404,    0.404
43,-3.764,4.96,0.140,ho03,0.500,    0.500
44,-3.738,5.014,0.269,bo08,0.499,    0.499
